	Peridinin	19'-Butanoyloxyfucoxanthin	Fucoxanthin	Neoxanthin	Prasinoxanthin	19'-keto-hexanoyloxyfucoxanthin	Violaxanthin	19'-hexanoyloxyfucoxanthin	Astaxanthin	Diadinoxanthin	Dinoxanthin	Antheraxanthin	Alloxanthin	Myxoxanthophyll	Diatoxanthin	Zeaxanthin	Lutein	Canthaxanthin	Gyroxanthin diester	Echinenone	"B,e-carotene"	"B,B-carotene"
619.3	0.00028775	0.000655896	0.00024817	0.001230722	0.000110038	0.000605907	0.000185456	-0.000152668	0.000112987	0.000812049	0.000478814	0.001123047	0.000257819	0.000578775	0.000285221	0.000228628	0.000196406	0.000419454	0.00093356	0.000522614	2.73329E-05	0.000826051
618.4	0.000319113	0.000560713	0.000259966	0.001201486	9.85534E-05	0.000673973	0.000199033	-0.000141422	0.000104	0.000853449	0.000539704	0.001101637	0.000280096	0.000541756	0.000377514	0.00026193	0.000189917	0.000388906	0.00086999	0.000479915	4.16118E-05	0.000750972
617.5	0.000305735	0.000626559	0.000255249	0.001213078	7.05669E-05	0.000660674	0.000209015	-0.00014328	0.000115605	0.000796437	0.000472324	0.001091227	0.000245491	0.0005696	0.0002888	0.000237928	0.000222028	0.000450274	0.000897415	0.000486745	5.13997E-05	0.000810477
616.7	0.000326406	0.000607774	0.000243463	0.001207116	9.15892E-05	0.000673801	0.000235548	-0.000122122	9.28583E-05	0.000827535	0.000546367	0.001090074	0.00025328	0.000558348	0.000341104	0.000273565	0.00018836	0.000402493	0.000946039	0.000486049	1.0302E-05	0.000731644
615.8	0.000315135	0.000608499	0.000248363	0.001188927	9.13312E-05	0.000656222	0.000199593	-0.000153443	0.000109644	0.000785134	0.000466284	0.001146907	0.000250004	0.00054532	0.000328077	0.000203944	0.000215871	0.000452874	0.000899226	0.000502614	9.70756E-06	0.000787997
615.0	0.000326929	0.000624932	0.000237258	0.001262881	9.09259E-05	0.000726055	0.000232822	-0.000136765	0.000119614	0.000862476	0.00057444	0.001096463	0.000267283	0.000532415	0.000377315	0.000245519	0.000228867	0.000424644	0.000934409	0.000505562	-7.93655E-06	0.000721251
614.1	0.000317293	0.000657299	0.000269365	0.001238873	6.49218E-05	0.000672629	0.000215711	-0.000139646	0.000117329	0.000795412	0.000481373	0.001120157	0.000235677	0.000565637	0.000344784	0.000219321	0.000227153	0.000446058	0.000882807	0.000522817	3.03768E-05	0.000760308
613.3	0.000338987	0.000621465	0.000268699	0.001225523	0.000110043	0.000711555	0.000242859	-0.000130068	9.6355E-05	0.000820047	0.000537259	0.00116075	0.000281677	0.000575773	0.000410316	0.000235522	0.000208463	0.000445085	0.000919731	0.000546469	4.54688E-06	0.000734015
612.4	0.000341517	0.000623545	0.000234303	0.001245628	7.90353E-05	0.000659623	0.000169336	-0.000155985	0.00013845	0.000826044	0.000470662	0.00111325	0.000226275	0.000553508	0.000295778	0.000227583	0.000199828	0.000461632	0.000899546	0.00050916	3.96093E-05	0.000792212
611.6	0.000372278	0.000618508	0.000243837	0.001210686	9.4148E-05	0.00071715	0.000197342	-0.000139576	7.45843E-05	0.000820431	0.000520956	0.001088285	0.000265092	0.000560762	0.000352125	0.000250579	0.000203618	0.000444701	0.000920623	0.00045656	-5.01306E-05	0.000714065
610.7	0.000359848	0.000674638	0.000274948	0.001207485	7.76251E-05	0.000703847	0.000228073	-0.000153236	0.000104951	0.000794916	0.000514086	0.001148925	0.000221629	0.000564819	0.000334578	0.0002569	0.000226959	0.000464248	0.000912127	0.000520412	3.20575E-05	0.000806855
609.9	0.000372736	0.000661312	0.000247913	0.001218835	7.71602E-05	0.000692572	0.000243781	-0.000128153	7.99758E-05	0.000863739	0.000562301	0.001102997	0.000261241	0.00057893	0.000403372	0.000239066	0.000211844	0.000430992	0.000932723	0.000513324	1.27928E-05	0.000774716
609.0	0.000356796	0.000639434	0.000233996	0.001206695	0.000113273	0.000664512	0.00020253	-0.000156887	0.000130225	0.000814463	0.000494875	0.001055174	0.000239623	0.000576876	0.00027671	0.00025591	0.000248101	0.000488952	0.000922813	0.000493085	0.000122708	0.000773504
608.2	0.000374191	0.000632098	0.000231957	0.001249452	0.000162464	0.000737694	0.000236815	-0.000114943	0.00010375	0.000879808	0.000539996	0.001020295	0.000306238	0.000562082	0.000374715	0.000261982	0.000233075	0.000470512	0.000932176	0.000515087	2.47483E-05	0.000714114
607.3	0.000376632	0.000667907	0.000247985	0.001218138	8.99416E-05	0.000650206	0.000238458	-0.000123694	9.6255E-05	0.000820667	0.000463237	0.001114724	0.000225168	0.000536741	0.000333552	0.000255039	0.000218499	0.000465858	0.000902972	0.000517634	5.71109E-05	0.000815549
