A,burntumber,rawumber,vandykebrown,burntsienna,rawsienna,redochre,redlead,cadmiumred,alizarin,madderlake,lacdye,carminelake,vermilion,realgar,yellowlakereseda,massicot,yellowochre,gamboge,naplesyellow,leadtinyellow..I,leadtinyellow..I,saffron,orpiment,cobaltyellow,cadmiumyellow,chromegreen,cobaltgreen,cadmiumgreen,greenearth,viridian,phthalogreen,verdigris,malachite,bluebice,cobaltblue,azurite,egyptianblue,ultramarine,phthaloblue,smalt,indigo,mayablue,prussianblue,cobaltviolet,ivoryblack,vineblack,boneblack,lampblack,gypsum,chalk,leadwhite,zincwhite,titaniumwhite,lithopone,fresco
345.42639,182.265372168288,208.932038834964,124.077669902915,284.012944983825,369.77346278318,137.669902912628,147.249190938517,335.145631067974,319.935275080915,337.15210355988,432.556634304224,258.57605177994,246.666666666674,83.3009708737892,240.194174757292,230.744336569584,303.171521035609,155.598705501619,199.546925566349,266.666666666675,237.66990291263,132.362459546933,345.695792880272,330.873786407782,299.223300970879,310.809061488684,241.682847896451,337.605177993539,410.226537216847,335.598705501628,252.815533980585,230.614886731399,312.556634304216,345.56634304208,350.809061488682,279.029126213599,352.94498381878,280.129449838198,119.611650485439,376.699029126229,253.980582524276,240.064724919094,314.498381877033,221.423948220074,196.440129449846,238.770226537226,215.404530744346,265.889967637552,164.724919093856,93.2038834951441,332.168284789652,181.94174757282,225.372168284794,466.925566343057,205.501618122987
345.646989498445,75.1654340210198,71.7399766446127,12.2226547294647,95.0564421954072,182.249902685871,54.9240949785932,58.699883223045,138.536395484627,136.16193071234,182.288828337879,213.390424289613,116.776956014012,102.919423900352,-28.337874659403,99.7664460879769,88.5947839626314,198.754379135855,61.3857532113649,58.8945114830676,121.097703386534,136.706889840408,67.6917088361266,161.230050603352,142.740365901135,101.985208252235,162.670299727524,88.5947839626355,200.428182172056,205.371739976651,170.844686648504,154.92409497859,24.6399377189561,114.441416893733,148.890618917868,167.65278318412,158.15492409498,177.189567925265,126.158038147143,5.76099649669036,184.818995718185,107.08446866485,78.8244453094567,123.433242506814,98.8711560918676,56.2475671467522,143.674581549245,105.760996496695,126.002335539125,20.7084468664849,57.6488906189162,139.626313740756,105.293888672636,111.132736473336,233.437135072017,92.6430517711216
345.867571994401,56.7105263157897,36.6228070175492,38.1140350877197,90.1754385964907,205.175438596493,113.157894736848,84.3859649122833,98.2017543859657,110.570175438596,172.061403508776,239.078947368428,89.0789473684195,116.096491228071,-53.0263157894751,115.087719298251,109.429824561403,180.307017543864,59.6929824561395,60.7894736842108,143.508771929827,117.368421052635,82.807017543864,134.78070175439,139.649122807025,90.9210526315764,145.131578947372,39.2982456140389,188.684210526319,192.23684210527,123.377192982458,143.596491228067,53.7719298245634,102.543859649123,190.877192982458,107.587719298246,157.061403508773,186.359649122809,91.6228070175474,-52.6754385964922,149.254385964918,122.80701754386,65.1315789473641,105.526315789476,93.8596491228106,87.1491228070218,153.421052631585,98.0701754386014,122.017543859655,41.0964912280713,69.0350877192963,100.394736842104,123.684210526317,127.938596491229,293.464912280708,59.8245614035128
346.088137488796,396.011730205296,404.633431085071,372.492668621717,386.158357771275,467.800586510283,442.521994134923,447.565982404714,400.821114369519,407.741935483888,450.85043988272,565.689149560147,464.868035190632,446.686217008817,263.812316715556,423.577712609995,467.976539589461,506.803519061608,334.01759530793,341.466275659838,445.337243401781,423.577712609992,358.885630498555,485.043988269821,507.624633431114,382.287390029337,453.372434017617,349.032258064537,555.659824046945,547.038123167186,433.196480938437,561.58357771263,327.038123167172,429.677419354857,537.008797653982,409.501466275677,463.870967741954,471.612903225827,343.929618768347,298.005865102653,467.624633431112,469.794721407645,412.258064516141,357.008797653978,414.662756598261,420.527859237559,466.803519061609,406.392961876857,412.492668621726,425.630498533745,344.809384164233,382.932551319662,446.627565982425,451.495601173039,301.994134897374,369.618768328467
346.308685982557,406.743869209836,403.950953678514,356.198910081767,323.910081743885,444.754768392398,377.520435967334,412.670299727551,429.632152588585,352.111716621275,478.065395095402,513.215258855625,473.024523160789,367.574931880132,257.697547683944,437.670299727556,349.455040871953,488.96457765671,324.52316076296,248.910081743883,386.512261580408,381.880108991854,329.564032697575,456.88010899186,465.463215258894,311.103542234346,464.64577656679,355.653950953709,476.089918256162,497.479564032737,385.149863760245,511.171662125367,259.945504087213,316.348773841981,516.144414168971,444.959128065423,450.136239782042,397.820163487764,289.100817438715,189.577656675762,380.653950953711,389.577656675771,434.059945504108,344.822888283404,361.37602179839,429.700272479598,392.643051771149,449.86376021802,393.188010899216,383.787465940082,370.504087193479,356.33514986378,418.528610354251,449.795640327002,264.305177111733,345.027247956434
346.529217476613,951.741293532636,1002.98507462722,870.64676616942,342.039800995104,983.830845771441,799.751243781356,873.134328358498,818.656716418167,512.935323383236,992.288557214244,939.552238806274,1222.88557213966,802.238805970385,792.288557214196,1061.44278607,849.25373134353,1012.6865671645,797.014925373368,326.865671641882,512.437810945432,1058.20895522422,466.16915422902,808.208955224138,1140.29850746306,515.174129353373,962.68656716448,758.706467661949,1017.41293532371,1037.31343283615,643.283582089765,1339.55223880637,664.67661691564,663.681592040004,1076.36815920432,470.398009950395,935.572139303758,902.985074627144,874.626865671943,320.39800995034,565.422885572347,931.094527363456,1180.84577114462,935.820895522697,731.094527363409,990.298507463009,929.353233831155,850.49751243811,834.328358209244,874.378109453015,1091.04477611972,706.218905472846,774.875621890784,973.134328358506,250.497512437877,816.915422885858
346.749731971892,-56.1876247504938,-115.66866267466,-82.0359281437049,30.1397205588869,-119.660678642703,-25.0499001996051,-188.123752495002,-28.7425149700599,140.61876247504,-3.69261477046284,-25.3493013972078,-65.0698602794245,-81.8363273453013,-105.089820359282,-31.4371257485084,-68.2634730538834,-17.0658682634762,-149.800399201582,-22.1556886227544,21.4570858283413,-132.634730538917,43.9121756486899,102.594810379233,-101.996007984035,-82.1357285429026,9.48103792414692,-26.7465069860357,-35.8283433133723,15.8682634730479,107.784431137712,-205.289421157662,-120.059880239518,-9.38123752495048,-32.2355289421143,105.788423153685,-75.6487025947997,11.3772455089837,-26.5469061876335,32.335329341313,128.642714570836,-121.856287425133,-123.453093812354,-38.1237524950113,-66.2674650698583,-30.1397205588833,-91.3173652694635,-128.443113772457,-50.5988023952198,-166.566866267458,-180.838323353272,34.5309381237521,4.3912175648697,-7.68463073851988,319.860279441096,-0.798403193624695
346.970229469322,55.5352241537011,-73.9249771271815,17.566331198538,179.871912168336,111.527904849033,5.58096980786403,-281.884720951493,140.164684354976,221.683440073175,192.863677950577,189.661482159175,124.702653247941,46.2946020128076,-223.604757548023,81.7932296431699,44.4647758462964,85.4528819762042,-50.5032021957832,4.6660567246126,135.041171088734,-0.274473924981965,77.1271729185573,92.8636779505865,33.7602927721744,-56.2671546202999,22.9643183897481,30.1921317474719,95.6084172003574,137.053979871898,203.476669716357,-98.9935956084026,-52.9734675205864,-2.65324794144638,89.3870082342097,281.335773101535,54.3458371454725,219.762122598339,14.9130832570809,45.1052150045706,272.552607502255,-29.6431838975198,-103.659652333009,139.890210429992,22.5068618481206,122.232387923135,53.0649588289015,-19.0301921317557,20.2195791399677,-67.0631290027428,-78.9569990850732,199.359560841705,45.6541628545262,95.242451967058,490.667886550739,33.7602927721733
347.190709969833,138.396226415087,134.811320754704,92.4528301886778,202.499999999995,244.528301886784,116.320754716974,78.4905660377296,172.830188679238,206.886792452822,258.86792452829,284.198113207533,165.471698113205,179.622641509429,41.0849056603736,150.707547169802,151.698113207544,219.433962264141,86.792452830189,137.924528301881,188.584905660369,167.877358490558,115.188679245271,200.56603773584,246.132075471683,190.518867924523,197.028301886784,164.5754716981,223.443396226406,268.113207547157,220.188679245272,163.584905660374,126.603773584898,158.066037735841,250.283018867912,260.943396226406,199.716981132071,248.820754716972,175.707547169799,96.8396226415052,277.264150943378,142.311320754716,144.622641509433,235.235849056591,175.330188679238,145.801886792444,145.094339622633,155.754716981121,187.641509433949,108.301886792447,67.8301886792477,246.273584905651,97.1226415094311,154.575471698109,343.726415094325,151.084905660367
347.411173474351,239.459459459444,313.753753753726,196.576576576568,396.036036036014,483.123123123093,258.19819819818,252.19219219217,452.732732732702,414.114114114089,435.795795795766,535.97597597594,305.165165165154,405.165165165141,195.195195195181,355.075075075049,300.900900900886,430.090090090061,252.612612612598,297.4174174174,404.864864864837,282.462462462442,255.975975975951,352.972972972949,279.819819819796,223.063063063053,366.426426426403,279.039039039014,374.294294294272,395.255255255227,320.180180180158,159.099099099094,196.336336336321,284.804804804788,336.636636636615,310.390390390374,220.72072072071,329.309309309289,262.762762762739,110.030030030021,336.636636636607,310.030030030013,298.138138138125,290.930930930908,236.516516516503,223.123123123107,187.087087087072,200.660660660642,245.945945945924,99.6396396396317,96.5165165165169,344.804804804784,236.876876876863,182.762762762753,370.510510510487,127.567567567553
