A,burntumber,rawumber,vandykebrown,burntsienna,rawsienna,redochre,redlead,cadmiumred,alizarin,madderlake,lacdye,carminelake,vermilion,realgar,yellowlakeresed,massicot,yellowochre,gamboge,naplesyellow,leadtinyellow..II,leadtinyellow..I,saffron,orpiment,cobaltyellow,cadmiumyellow,chromegreen,cobaltgreen,cadmiumgreen,greenearth,viridian,phthalogreen,verdigris,malachite,bluebice,cobaltblue,azurite,egyptianblue,ultramarine,phthaloblue,smalt,indigo,mayablue,prussianblue,cobaltviolet,ivoryblack,vineblack,boneblack,lampblaxk,gypsum,chalk,leadwhite,zincwhite,titaniumwhite,lithopone,Linseedoil
360.1690084,-5.397307036,0.451355964,360.1690084,6.512421771,8.105442822,4.695619192,22.35539541,19.31348379,29.91991754,4.801820595,18.99867248,1.665086289,36.37777356,28.15475062,3.20121373,45.11283899,6.728617485,15.31575953,21.58164233,21.4602693,22.89398824,13.47999241,10.77185663,24.88905746,2.985018016,-2.88260952,1.661293381,4.388393704,3.527403755,15.70263607,-5.632467286,-5.124217713,8.336810165,1.008913332,-2.249194007,-7.460648587,2.431253556,8.188886782,7.426512422,7.088943675,-6.721031671,3.383273279,7.987862697,3.170870472,-15.98710412,2.199886213,-13.28655414,-16.17674948,3.8118718,30.58600417,59.45002845,33.97307036,27.41892661,39.74587521,64.11909729
360.3884707,-4.212383948,10.97982046,360.3884707,8.432440727,11.24069669,8.539860354,22.8113251,25.02110028,33.98896438,10.9414563,19.86495818,12.25734674,38.74012123,27.97897644,7.477173329,54.50778792,12.24200107,21.82536638,22.27806338,24.24998082,31.58520678,16.07841633,19.07465664,26.67075884,5.163814931,4.515460753,-1.561421008,8.628097905,1.173943068,20.2716182,-8.938847541,-0.245530576,7.18560577,4.112637152,2.313358398,-11.68572086,0.713573237,7.385099363,9.207396609,9.963170414,-6.748254431,4.918284355,9.974679659,12.33407504,-11.58213765,4.718790762,-10.44655874,-11.57446482,2.808255966,34.92672447,60.92994706,39.10074426,24.84078877,42.29647817,66.25105501
360.6079162,1.718430351,9.388134648,360.6079162,10.20643481,8.383857169,9.343500093,20.90756928,27.83708388,41.28904847,16.0238051,25.64255161,20.6360424,45.00650921,29.78612609,8.796726799,52.41212572,12.78779989,20.33847871,31.46364144,23.60795983,34.87818486,14.08964106,24.10265948,27.26055421,2.395387763,5.635112516,5.013948298,9.283987354,1.718430351,23.95759717,-1.220011159,4.839129626,10.20643481,6.018225776,2.242886368,-9.588990143,3.641435745,12.28566115,11.82815696,13.62469779,-10.41100986,5.832248466,13.20066952,17.71247908,-5.426817928,8.54007811,-8.194160312,-6.87000186,11.37809187,33.37920774,60.52445602,39.26352985,23.60052074,44.97303329,68.10117166
360.8273447,6.060088767,14.91976784,360.8273447,17.84568112,14.48617276,19.27278935,22.34209628,36.86923865,42.92898874,23.274155,30.46090816,26.70877433,47.96858996,36.39467395,14.95390918,54.49982929,24.96415159,26.8350973,38.11198361,34.36326391,47.94810516,26.29224991,33.97405258,33.23318539,10.94230113,8.279276203,18.53875043,14.38033459,14.53738477,32.55377262,8.86650734,14.16182998,21.17446227,17.15261181,12.26698532,-0.413110277,11.02082622,18.60020485,19.55616251,21.47149198,-1.034482759,8.815295323,16.06691704,25.4899283,10.1980198,19.64493001,2.065551383,-0.669170365,16.56879481,40.93547286,64.16524411,43.98429498,27.52133834,47.53840901,73.11710481
361.0467563,10.52866954,18.61044562,361.0467563,21.34802747,24.14310813,18.11531704,23.81089283,35.11899058,42.23645439,26.30250759,31.65628494,31.80003194,46.7912474,36.79284459,24.08241495,54.10637278,34.81871905,31.37837406,43.7565884,38.29739658,50.67561092,34.2341479,34.56955758,33.6272161,14.18303785,12.64654209,21.12442102,22.17537135,19.12474046,31.28893148,12.15780227,26.3727839,25.12697652,21.77926849,19.450567,1.648298994,15.33620827,23.25826545,20.78901134,21.00303466,6.63152851,18.33892349,17.15061492,26.29931321,10.66283341,18.00670819,6.043762977,2.031624341,22.6449449,46.3152851,70.99824309,42.77272001,29.61188309,46.63791727,68.16163552
361.2661509,17.04131809,24.66313302,361.2661509,25.44862379,21.72552526,16.73797816,23.21987356,37.30442557,42.34144111,32.26898269,29.44313175,32.94910275,49.26240501,35.36624306,22.57807012,56.5744939,35.34389169,40.95408391,45.19126381,39.44377036,49.36777572,34.71805352,35.17785299,27.67737403,19.86397599,15.62998914,23.10811674,33.95491411,26.67156268,30.73631777,11.53011048,26.40334632,28.72788812,24.96647295,23.42742193,3.266492113,15.20531324,24.2863529,19.28603359,19.33392937,9.45143368,16.46337569,18.2227473,27.32613832,12.8169104,19.49358197,6.124273581,2.819464844,30.81295102,46.04700172,71.96500415,49.10594546,27.23353982,46.90912574,67.30314835
361.4855286,10.67737476,20.75900204,361.4855286,22.16773089,18.37272069,10.66420907,14.22223685,32.20656968,36.79210703,21.02560727,25.25837667,25.36370219,49.7959318,25.1168455,21.51932065,19.20874202,31.59765651,34.81337634,37.1272464,33.42768745,45.49733395,28.25686262,36.86064117,22.1545652,8.666315582,15.42689751,20.61088803,28.11204002,15.94035942,23.29668883,7.435323547,18.78743993,25.8903298,21.20005266,18.37272069,-5.78961227,7.116055559,17.1186887,11.8359555,16.67763808,0.457507735,10.5523007,13.99183727,23.97472187,8.761766836,17.22730564,-4.469751827,-8.732144033,27.99684023,37.11078928,71.6575604,47.32407346,30.55427556,46.25765256,61.6318873
361.7048893,15.33787743,23.26126515,361.7048893,25.90445054,23.47099281,18.49304506,18.81997348,39.1604725,43.75817849,25.99697745,32.12842735,34.83329735,53.27699473,32.19628042,26.70018197,24.61524227,34.62048546,38.2352034,45.25491164,37.01693242,51.29383462,27.40030225,39.67245474,34.55263239,13.33312772,17.98414706,26.65083428,34.24112513,23.23659131,29.20766123,16.83064491,27.54834531,32.76069457,20.90799741,33.13388644,0.228233044,20.38059402,23.13789594,19.95188601,22.60432409,4.077352497,22.35758566,14.47429294,31.68738241,9.733830922,21.27502082,2.307004287,0.478055701,25.35237332,41.91160596,72.55960275,53.16596243,36.81028899,51.88600685,67.65567653
361.9242332,18.49039311,19.5803738,361.9242332,25.91731858,20.05826323,16.51991751,14.8669438,42.49615397,36.80288389,21.16461,32.01204543,28.45733364,46.37164086,26.67997774,32.03823115,21.65559229,33.59300841,40.10998003,42.53870577,40.68933914,46.90517495,25.16447907,37.2099113,30.62747537,13.46928087,13.38417728,24.87970934,28.46715328,21.68177801,20.91257242,17.39386599,25.74711139,36.04464666,17.63608393,33.419528,-4.39592812,20.31030081,17.02399267,24.32326274,20.2022847,0.625184118,18.53621813,9.914569081,29.9270073,5.819776767,21.13187784,0.618637688,-0.386239403,16.86360512,41.16068214,69.13357992,51.18981375,29.40656607,55.57592223,66.86524173
362.14356,21.35707786,22.14350708,362.14356,26.44936956,22.57571819,21.00610945,16.99922007,43.41609255,34.47584063,21.51956324,37.18965293,31.16794488,48.70011699,29.06538412,33.70921617,29.10438061,36.52021318,45.77862992,43.07812297,46.81853633,52.44053035,32.29234369,35.63304303,32.7733004,15.40036397,18.48433641,29.64383206,33.96594307,24.99025088,24.73352398,19.50799428,32.99753022,37.17990381,27.69075783,41.7977382,2.099311062,19.15052645,20.66164045,27.61276485,27.66151046,5.85922267,23.30365267,10.89951904,26.83933446,8.861952424,22.50097491,5.683738464,3.249707526,26.0366567,42.93513584,71.67879891,55.55375016,29.06863382,58.42974132,77.66476017
