wavenumber (1/cm)	absorbtion (1/cm)
3938.054823919618	 5.562352941176471
3999.5122427080287	 5.444705882352941
4011.8037264657105	 5.36156862745098
4030.240952102234	 5.311764705882353
4214.613208467466	 5.342352941176471
4306.799336650083	 5.423529411764706
4362.111013559653	 5.516470588235294
4481.952980197054	 5.605411764705882
4466.588625499951	 5.712941176470588
4491.171593015316	 5.812549019607843
4583.357721197932	 5.488235294117647
4684.76246219881	 5.385882352941176
4982.830943322603	 5.430588235294118
5154.911715930153	 5.52
5486.781777387572	 5.555294117647058
5671.154033752805	 5.618823529411764
5914.5254121549115	 5.692235294117647
6095.21022339284	 5.770588235294118
6279.582479758073	 5.872941176470588
6463.954736123305	 5.984117647058823
6593.015315578968	 6.068235294117646
6703.638669398108	 6.155294117647059
6814.262023217247	 6.250980392156863
6906.4481513998635	 6.345882352941176
6980.197053945956	 6.434117647058823
7072.383182128573	 6.543529411764705
7201.443761584235	 6.614117647058824
7330.5043410398985	 6.698823529411764
7441.1276948590385	 6.790588235294117
7551.7510486781775	 6.891764705882353
7643.937176860794	 6.988235294117647
7736.12330504341	 7.08
7828.309433226027	 7.164705882352941
7902.05833577212	 7.244705882352941
7994.244463954736	 7.331764705882352
8104.867817773876	 7.432941176470588
8233.928397229538	 7.528235294117647
8375.280460442884	 7.621176470588235
8547.361233050435	 7.708235294117647
8790.73261145254	 7.75764705882353
9002.146132084676	 7.748235294117647
9266.413032874842	 7.677647058823529
9506.096966149644	 7.562823529411764
9690.469222514877	 7.475294117647059
9874.84147888011	 7.373647058823529
10040.776509608819	 7.284705882352941
10188.274314701004	 7.2
10335.772119793191	 7.115294117647059
10483.269924885377	 7.023529411764706
10630.767729977562	 6.938823529411764
10796.702760706272	 6.831529411764706
10962.637791434981	 6.723529411764706
11128.572822163691	 6.622588235294118
11312.945078528925	 6.508235294117647
11478.880109257634	 6.409411764705882
11626.37791434982	 6.324705882352941
11810.750170715051	 6.227058823529411
12031.996878353331	 6.121176470588235
12271.680811628134	 6.035294117647059
12437.615842356843	 5.971764705882353
12677.299775631645	 5.915294117647059
12916.983708906448	 5.883529411764705
13156.66764218125	 5.865882352941176
13359.477124183006	 5.865882352941176
13562.286606184762	 5.876470588235294
13783.533313823042	 5.894117647058823
14041.654472734368	 5.925882352941176
14287.484147888012	 5.957647058823529
14656.228660618477	 6.025882352941176
14935.859916105746	 6.093529411764706
15233.928397229538	 6.152941176470588
15479.758072383182	 6.211764705882353
15713.296263779142	 6.261176470588235
15909.960003902059	 6.315294117647058
16171.154033752804	 6.370588235294117
16383.182128572822	 6.409411764705882
16622.866061847628	 6.458823529411765
16844.112769485902	 6.491764705882352
17065.359477124184	 6.529411764705882
17341.91786167203	 6.564705882352941
17590.820407765095	 6.603529411764706
17821.285728221636	 6.626470588235294
18036.386693981076	 6.651764705882353
18274.84147888011	 6.6776470588235295
18503.463076772998	 6.684705882352941
18724.70978441128	 6.700588235294117
18945.956492049554	 6.718235294117647
19218.827431470098	 6.738352941176471
19388.449907326118	 6.7552941176470584
19665.008291873964	 6.8082352941176465
19904.692225148763	 6.837176470588235
20199.68783533314	 6.847058823529411
20494.683445517512	 6.854117647058823
20697.49292751927	 6.86
20918.739635157544	 6.857647058823529
21158.42356843235	 6.854117647058823
21398.10750170715	 6.858823529411764
21564.04253243586	 6.865882352941176
21846.746658862547	 6.889411764705883
22080.28485025851	 6.931764705882353
22356.843234806358	 6.997058823529412
22633.401619354212	 7.0588235294117645
22873.08555262901	 7.090588235294118
23112.769485903817	 7.115294117647059
23395.473612330505	 7.141176470588235
23616.72031996878	 7.169411764705882
23841.039898546485	 7.205294117647059
24099.161057457808	 7.245882352941177
24329.62637791435	 7.272352941176471
24532.435859916106	 7.284705882352941
24808.994244463953	 7.30235294117647
25067.115403375283	 7.341176470588235
25269.924885377033	 7.394117647058823
25561.2330504341	 7.507764705882353
25767.72997756316	 7.616470588235294
25970.53945956492	 7.722352941176471
26136.47449029363	 7.814117647058823
26320.846746658863	 7.912941176470588
26523.65622866062	 7.996470588235295
26763.34016193542	 8.08
26966.149643937177	 8.154117647058824
27150.52190030241	 8.241176470588236
27298.019705394596	 8.34
27427.080284850257	 8.435294117647059
27537.703638669394	 8.534117647058824
27629.889766852015	 8.630588235294118
27703.638669398104	 8.710588235294118
27777.3875719442	 8.790588235294118
27851.136474490297	 8.889411764705882
27924.885377036386	 8.972941176470588
27998.634279582482	 9.063529411764705
28072.38318212857	 9.158823529411764
28146.132084674668	 9.25764705882353
28219.880987220757	 9.367058823529412
28293.629889766853	 9.465882352941176
28367.378792312942	 9.581176470588236
28441.12769485904	 9.696
28514.876597405128	 9.81529411764706
28588.625499951224	 9.945882352941176
28662.37440249732	 10.08
28736.12330504341	 10.195764705882352
28772.997756316458	 10.284705882352942
28816.01794946834	 10.383529411764705
28877.475368256753	 10.498823529411764
28920.495561408643	 10.605882352941176
28957.37001268169	 10.690588235294118
28994.24446395474	 10.775294117647059
29031.11891522778	 10.86
29067.99336650083	 10.951764705882352
